feature,f_score,mutual_info,rf_importance
diag_3_cat_Unknown,372.89388574464397,0.001949447792298109,0.0005202700542597335
admission_source_HMO_Referral,3.7085518784809426,0.0020984983539173996,0.0003938695269110659
diag_2_cat_Unknown,73.38018671690672,0.004166571407171915,0.000392884746197727
discharge_disposition_Home_IV,48.287821050711656,0.0,0.0003709900544574985
admission_source_Unknown,1.168051241634188,0.0008921208308247941,0.0003453144292421301
diag_1_cat_Pregnancy,86.97060720331605,0.0,0.00030294738879898386
discharge_disposition_Swing_Bed,26.827268996114963,0.0,0.00029159163125422403
diag_3_cat_Pregnancy,29.925813106686263,0.0019391516503644013,0.00026823873538133505
diag_3_cat_Congenital,0.05237496323254829,0.0,0.00023964553044781038
diag_2_cat_Congenital,2.92493845229035,0.0015983411530067215,0.0002267329536109573
discharge_disposition_Veteran_Hospital,6.812596228434313,0.005619857871624667,0.00021092228279455597
diag_2_cat_Pregnancy,41.1189445901394,0.004751369761359925,0.00019182675213718573
diag_1_cat_Congenital,0.17217942912348483,0.0,0.00018343003912096685
admission_source_Not_Available,9.69307162948568,0.0036647634957693853,0.0001703589843010627
admission_source_Court_Law,0.16842930149042676,0.0,7.958881540582427e-05
discharge_disposition_Federal_Health_Facility,2.591173327956404,0.0008857830082389384,3.875610074295562e-05
discharge_disposition_Neonate,2.4988151354086905,0.0,2.490445571016447e-05
discharge_disposition_Admitted_Inpatient,0.0037638542341727967,0.0008069218497377406,2.3389552080549007e-05
admission_source_Transfer_Critical_Access,0.1581237372901462,0.00270035226902543,2.1173935796867865e-05
admission_type_Trauma_Center,2.8686218755424355,0.0,1.6709402875479765e-05
diag_1_cat_Unknown,0.38190996658728993,0.0,1.3737873408999758e-05
admission_source_Physician_Ext,3.454989780701013,0.008364870496765597,1.1444380633401428e-05
discharge_disposition_Nursing_Facility,0.068306805038472,0.0,1.0706071793468042e-05
discharge_disposition_Long_Term_Hospital,0.8865688897328984,0.002152055021826804,7.618172360407859e-06
admission_type_Newborn,1.1552681475231714,0.0,6.9814115043263965e-06
discharge_disposition_Rehab_Facility,0.12826933756297237,0.0010132099668647143,3.4734202282793144e-06
discharge_disposition_Still_Patient,0.13894972045056042,0.00019524626776767917,2.9504259385608646e-06
admission_source_Transfer_Rehab,0.6926910102546883,0.0029611716982200775,7.429215783765081e-07
admission_source_Extramural_Birth,0.37671119138349807,0.0,5.032793721186538e-07
admission_source_Normal_Delivery,0.18835239742582183,0.004570016056645088,3.168627533715041e-07
admission_source_Sick_Baby,0.1883523974257904,0.003928676882109627,2.7272902209334756e-07
diag_1_cat_External_Causes,0.061340981965765484,0.0005769827550539119,1.4640139012639743e-07
